SessionDate,SessionName,ChannelNumber,Region,Probe
12/14/17,Chap00_rec17,71,LCN,3
12/14/17,Chap00_rec17,72,LCN,3
12/14/17,Chap00_rec17,73,LCN,3
12/14/17,Chap00_rec17,74,LCN,3
12/14/17,Chap00_rec17,75,LCN,3
12/14/17,Chap00_rec17,76,LCN,3
12/14/17,Chap00_rec17,77,LCN,3
12/14/17,Chap00_rec17,78,LCN,3
12/14/17,Chap00_rec17,79,LCN,3
12/14/17,Chap00_rec17,80,LCN,3
12/14/17,Chap00_rec17,97,LCN,4
12/14/17,Chap00_rec17,98,LCN,4
12/14/17,Chap00_rec17,99,LCN,4
12/14/17,Chap00_rec17,100,LCN,4
12/14/17,Chap00_rec17,101,LCN,4
12/14/17,Chap00_rec17,102,LCN,4
12/14/17,Chap00_rec17,103,LCN,4
12/14/17,Chap00_rec17,104,LCN,4
12/14/17,Chap00_rec17,105,LCN,4
12/14/17,Chap00_rec17,106,LCN,4
12/14/17,Chap00_rec17,107,LCN,4
12/14/17,Chap00_rec17,108,LCN,4
12/14/17,Chap00_rec17,109,LCN,4
12/14/17,Chap00_rec17,110,LCN,4
12/14/17,Chap00_rec17,111,LCN,4
12/14/17,Chap00_rec17,112,LCN,4
12/19/17,Chap00_rec20,1,LOFC,1
12/19/17,Chap00_rec20,2,LOFC,1
12/19/17,Chap00_rec20,3,LOFC,1
12/19/17,Chap00_rec20,4,LOFC,1
12/19/17,Chap00_rec20,5,LOFC,1
12/19/17,Chap00_rec20,6,LOFC,1
12/19/17,Chap00_rec20,7,LOFC,1
12/19/17,Chap00_rec20,8,LOFC,1
12/19/17,Chap00_rec20,9,LOFC,1
12/19/17,Chap00_rec20,10,LOFC,1
12/19/17,Chap00_rec20,11,LOFC,1
12/19/17,Chap00_rec20,12,LOFC,1
12/19/17,Chap00_rec20,13,LOFC,1
12/19/17,Chap00_rec20,14,LOFC,1
12/19/17,Chap00_rec20,15,LOFC,1
12/19/17,Chap00_rec20,16,LOFC,1
12/19/17,Chap00_rec20,33,LOFC,2
12/19/17,Chap00_rec20,34,LOFC,2
12/19/17,Chap00_rec20,35,LOFC,2
12/19/17,Chap00_rec20,36,LOFC,2
12/19/17,Chap00_rec20,37,LOFC,2
12/19/17,Chap00_rec20,38,LOFC,2
12/19/17,Chap00_rec20,39,LOFC,2
12/19/17,Chap00_rec20,40,LOFC,2
12/19/17,Chap00_rec20,41,LOFC,2
12/19/17,Chap00_rec20,42,LOFC,2
12/19/17,Chap00_rec20,43,LOFC,2
12/19/17,Chap00_rec20,44,LOFC,2
12/19/17,Chap00_rec20,45,LOFC,2
12/19/17,Chap00_rec20,46,LOFC,2
12/19/17,Chap00_rec20,47,LOFC,2
12/19/17,Chap00_rec20,48,LOFC,2
12/19/17,Chap00_rec20,65,LCN,3
12/19/17,Chap00_rec20,66,LCN,3
12/19/17,Chap00_rec20,67,LCN,3
12/19/17,Chap00_rec20,68,LCN,3
12/19/17,Chap00_rec20,69,LCN,3
12/19/17,Chap00_rec20,70,LCN,3
12/19/17,Chap00_rec20,71,LCN,3
12/19/17,Chap00_rec20,72,LCN,3
12/19/17,Chap00_rec20,73,LCN,3
12/19/17,Chap00_rec20,74,LCN,3
12/19/17,Chap00_rec20,75,LCN,3
12/19/17,Chap00_rec20,76,LCN,3
12/19/17,Chap00_rec20,77,LCN,3
12/19/17,Chap00_rec20,78,LCN,3
12/19/17,Chap00_rec20,79,LCN,3
12/19/17,Chap00_rec20,80,LCN,3
12/19/17,Chap00_rec20,97,LCN,4
12/19/17,Chap00_rec20,98,LCN,4
12/19/17,Chap00_rec20,99,LCN,4
12/19/17,Chap00_rec20,100,LCN,4
12/19/17,Chap00_rec20,101,LCN,4
12/19/17,Chap00_rec20,102,LCN,4
12/19/17,Chap00_rec20,103,LCN,4
12/19/17,Chap00_rec20,104,LCN,4
12/19/17,Chap00_rec20,105,LCN,4
12/19/17,Chap00_rec20,106,LCN,4
12/19/17,Chap00_rec20,107,LCN,4
12/19/17,Chap00_rec20,108,LCN,4
12/19/17,Chap00_rec20,109,LCN,4
12/19/17,Chap00_rec20,110,LCN,4
12/19/17,Chap00_rec20,111,LCN,4
12/19/17,Chap00_rec20,112,LCN,4
06/27/18,Chap00_rec47,1,LOFC,1
06/27/18,Chap00_rec47,2,LOFC,1
06/27/18,Chap00_rec47,3,LOFC,1
06/27/18,Chap00_rec47,4,LOFC,1
06/27/18,Chap00_rec47,5,LOFC,1
06/27/18,Chap00_rec47,6,LOFC,1
06/27/18,Chap00_rec47,7,LOFC,1
06/27/18,Chap00_rec47,8,LOFC,1
06/27/18,Chap00_rec47,9,LOFC,1
06/27/18,Chap00_rec47,10,LOFC,1
06/27/18,Chap00_rec47,11,LOFC,1
06/27/18,Chap00_rec47,12,LOFC,1
06/27/18,Chap00_rec47,13,LOFC,1
06/27/18,Chap00_rec47,14,LOFC,1
06/27/18,Chap00_rec47,15,LOFC,1
06/27/18,Chap00_rec47,16,LOFC,1
06/27/18,Chap00_rec47,33,LOFC,2
06/27/18,Chap00_rec47,34,LOFC,2
06/27/18,Chap00_rec47,35,LOFC,2
06/27/18,Chap00_rec47,36,LOFC,2
06/27/18,Chap00_rec47,37,LOFC,2
06/27/18,Chap00_rec47,38,LOFC,2
06/27/18,Chap00_rec47,39,LOFC,2
